"site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential_duplicate_group_manual","duplicate.notes","NEW_RECORD","GROA.site.ID"
3698,"Niah Forest Reserve chronosequence 1/2",NA,NA,NA,"NAC","Sarawak","Malaysia",3.65,113.7,"",NA,"27","NAC","NAC","2800",NA,"clay to sandy loam","NaN","NaN","NaN","Ultisol",NA,NA,"GROA site.id #298",NA,NA,NA,NA,NA,"Kenzo_2010_ciaa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,298
3699,"SF-11/SF-22/P3",NA,NA,NA,"NAC","Sarapiqui","Costa Rica",10.766667,-84.1,"195",NA,"26","NAC","NAC","4000",NA,"NAC","NAC","NAC","NAC","Ultisol",NA,NA,"GROA site.id #412",NA,NA,NA,NA,NA,"Schedlbauer_2008_scdi",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,412
3700,"SF-8",NA,NA,NA,"NAC","Sarapiqui","Costa Rica",10.783333,-84.083333,"195",NA,"26","NAC","NAC","4000",NA,"","NaN","NaN","NaN","Ultisol",NA,NA,"GROA site.id #417",NA,NA,NA,NA,NA,"Schedlbauer_2008_scdi",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,417
3701,"SF-15",NA,NA,NA,"NAC","Sarapiqui","Costa Rica",10.766667,-84.016667,"195",NA,"26","NAC","NAC","4000",NA,"","NaN","NaN","NaN","Ultisol",NA,NA,"GROA site.id #419",NA,NA,NA,NA,NA,"Schedlbauer_2008_scdi",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,419
3702,"SF-17",NA,NA,NA,"NAC","Sarapiqui","Costa Rica",10.75,-84.116667,"195",NA,"26","NAC","NAC","4000",NA,"","NaN","NaN","NaN","Ultisol",NA,NA,"GROA site.id #420",NA,NA,NA,NA,NA,"Schedlbauer_2008_scdi",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,420
3703,"SF-20",NA,NA,NA,"NAC","Sarapiqui","Costa Rica",10.683333,-84.05,"195",NA,"26","NAC","NAC","4000",NA,"","NaN","NaN","NaN","Ultisol",NA,NA,"GROA site.id #421",NA,NA,NA,NA,NA,"Schedlbauer_2008_scdi",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,421
3704,"SF-23",NA,NA,NA,"NAC","Sarapiqui","Costa Rica",10.666667,-84.183333,"195",NA,"26","NAC","NAC","4000",NA,"","NaN","NaN","NaN","Ultisol",NA,NA,"GROA site.id #423",NA,NA,NA,NA,NA,"Schedlbauer_2008_scdi",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,423
3705,"SF-28",NA,NA,NA,"NAC","Sarapiqui","Costa Rica",10.716667,-84.05,"195",NA,"26","NAC","NAC","4000",NA,"","NaN","NaN","NaN","Ultisol",NA,NA,"GROA site.id #424",NA,NA,NA,NA,NA,"Schedlbauer_2008_scdi",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,424
3706,"Barito Ulu",NA,NA,NA,"NAC","Central Kalimantan","Indonesia",-1.1,114,"150",NA,"NAC","NAC","NAC","3800",NA,"sandy","NaN","NaN","NaN","ultisol",NA,NA,"GROA site.id #435",NA,NA,NA,NA,NA,"Brearley_2011_bssi",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,435
3707,"Moungmouay",NA,NA,NA,"NAC","Luang Prabang Province","Laos",20.271111,103.048611,"600",NA,"21","NAC","NAC","1550",NA,"sandy clay-clay loam","NaN","NaN","NaN","Ultisol",NA,NA,"GROA site.id #2175",NA,NA,NA,NA,NA,"McNicol_2015_doam",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,2175
