"citation.ID","citation.doi","citation.author","citation.year","citation.title","NEW_RECORD"
"Fortier_2015_bcna","NAC","Fortier",2015,"Biomass carbon, nitrogen and phosphorus stocks in hybrid poplar buffers, herbaceous buffers and natural woodlots in the riparian zone on agricultural land",TRUE
"Martinez-Sanchez_2015_rbsd","NAC","Martinez-Sanchez",2015,"Relationship between structural diversity and carbon stocks in humid and sub-humid tropical forest of Mexico",TRUE
"Bertolin_2015_feac","NAC","Bertolin",2015,"FIRE EMISSIONS AND CARBON UPTAKE IN SEVERELY BURNED LENGA BEECH (NOTHOFAGUS PUMILIO) FORESTS OF PATAGONIA, ARGENTINA",TRUE
"Hytonen_2015_bpoc","NAC","Hytonen",2015,"Biomass production of coppiced grey alder and the effect of fertilization",TRUE
"Atkinson_2015_lule","NAC","Atkinson",2015,"Land use legacy effects on structure and composition of subtropical dry forests in St. Croix, US Virgin Islands",TRUE
"Mora_2014_tctd","NAC","Mora",2014,"Testing Chronosequences through Dynamic Approaches: Time and Site Effects on Tropical Dry Forest Succession",TRUE
"Costa_2014_rasb","NAC","Costa",2014,"Root and shoot biomasses in the tropical dry forest of semi-arid Northeast Brazil",TRUE
"Bu_2014_forb","NAC","Bu",2014,"Field observed relationships between biodiversity and ecosystem functioning during secondary succession in a tropical lowland rainforest",TRUE
"Wei_2014_tnap","NAC","Wei",2014,"The nutrient accumulation pattern and cycling in natural secondary forests in North China. A case study from the Caijiachuan watershed, Shanxi Province",TRUE
"Kalaba_2013_fcsd","NAC","Kalaba",2013,"Floristic composition, species diversity and carbon storage in charcoal and agriculture fallows and management implications in Miombo woodlands of Zambia",TRUE
"Pena_2013_poso","NAC","Pena",2013,"Patterns of stocks of aboveground tree biomass, dynamics, and their determinants in secondary Andean forests",TRUE
"Giday_2013_wbff","NAC","Giday",2013,"Wood biomass functions for Acacia abyssinica trees and shrubs and implications for provision of ecosystem services in a community managed exclosure in Tigray, Ethiopia",TRUE
"Zhang_2013_llpq","NAC","Zhang",2013,"Linking litter production, quality and decomposition to vegetation succession following agricultural abandonment",TRUE
"Martins_2012_eofo","NAC","Martins",2012,"Effects of fire on above-ground forest biomass in the northern Brazilian Amazon",TRUE
"Raharimalala_2012_qbos","NAC","Raharimalala",2012,"QUANTIFYING BIOMASS OF SECONDARY FOREST AFTER SLASH-AND-BURN CULTIVATION IN CENTRAL MENABE, MADAGASCAR",TRUE
"Huffman_2012_iots","NAC","Huffman",2012,"Influence of time since fire on pinyon-juniper woodland structure",TRUE
"Carswell_2012_capd","NAC","Carswell",2012,"Carbon and plant diversity gain during 200 years of woody succession in lowland New Zealand",TRUE
"Hilje_2012_caot","NAC","Hilje",2012,"Calling activity of the common tink frog (Diasporus diastema) (Eleutherodactylidae) in secondary forests of the Caribbean of Costa Rica",TRUE
"Brearley_2011_bssi","NAC","Brearley",2011,"Below-ground secondary succession in tropical forests of Borneo",TRUE
"d'Oliveira_2011_fnra","NAC","d'Oliveira",2011,"Forest natural regeneration and biomass production after slash and burn in a seasonally dry forest in the Southern Brazilian Amazon",TRUE
"Hernandez-Stefanoni_2011_iols","NAC","Hernandez-Stefanoni",2011,"Influence of landscape structure and stand age on species density and biomass of a tropical dry forest across spatial scales",TRUE
"Omeja_2011_fcaa","NAC","Omeja",2011,"Fire control as a simple means of promoting tropical forest restoration",TRUE
"Mendoza-Ponce_2010_aabb","NAC","Mendoza-Ponce",2010,"Aboveground and belowground biomass and carbon pools in highland temperate forest landscape in Central Mexico",TRUE
"Siddique_2010_napa","NAC","Siddique",2010,"Nitrogen and phosphorus additions negatively affect tree species diversity in tropical forest regrowth trajectories",TRUE
"Powers_2009_daso","NAC","Powers",2009,"Diversity and structure of regenerating tropical dry forests in Costa Rica: Geographic patterns and environmental drivers",TRUE
"Shoch_2009_csob","NAC","Shoch",2009,"CARBON STORAGE OF BOTTOMLAND HARDWOOD AFFORESTATION IN THE LOWER MISSISSIPPI VALLEY, USA",TRUE
"Slik_2008_tdcf","NAC","Slik",2008,"Tree diversity, composition, forest structure and aboveground biomass dynamics after single and repeated fire in a Bornean rain forest",TRUE
"Koul_2008_plof","NAC","Koul",2008,"Prioritizing land-management options for carbon sequestration potential",TRUE
"Lebrija-Trejos_2008_scar","NAC","Lebrija-Trejos",2008,"Successional change and resilience of a very dry tropical deciduous forest following shifting agriculture",TRUE
"Bermudez_2007_fasr","NAC","Bermudez",2007,"Floristic and structural recovery of a laurel forest community after clear-cutting: A 60 years chronosequence on La Palma (Canary Islands)",TRUE
"Eaton_2006_wdsa","NAC","Eaton",2006,"Woody debris stocks and fluxes during succession",TRUE
"Hiratsuka_2006_bron","NAC","Hiratsuka",2006,"Biomass recovery of naturally regenerated vegetation after the 1998 forest fire in East Kalimantan, Indonesia",TRUE
"Sigurdsson_2005_baco","NAC","Sigurdsson",2005,"Biomass and composition of understory vegetation and the forest floor carbon stock across Siberian larch and mountain birch chronosequences in Iceland",TRUE
"Ruiz_2005_vsca","NAC","Ruiz",2005,"Vegetation structure, composition, and species richness across a 56-year chronosequence of dry tropical forest on Providencia island, Colombia",TRUE
"Neeff_2005_agmf","NAC","Neeff",2005,"A growth model for secondary forest in Central Amazonia",TRUE
"Campo_2004_eonl","NAC","Campo",2004,"Effects of nutrient limitation on aboveground carbon dynamics during tropical dry forest regeneration in Yucatan, Mexico",TRUE
"Thenkabail_2004_hiaa","NAC","Thenkabail",2004,"Hyperion, IKONOS, ALI, and ETM plus sensors in the study of African rainforests",TRUE
"Pena-Claros_2003_cifs","NAC","Pena-Claros",2003,"Changes in forest structure and species composition during secondary forest succession in the Bolivian Amazon",TRUE
"Vieira_2003_csfu","NAC","Vieira",2003,"Classifying successional forests using Landsat spectral properties and ecological characteristics in eastern Amazonia",TRUE
