checked,study.id,IPCC ,Soil,citations.author,citations.year,Code2,Count,citations.journal,citations.title,Entered,citations.notes,data remaining,ForCdb,Poorter,Bonner
SCC,5252,0,1,Pang,2011,yes,1,SOIL USE AND MANAGEMENT 27:213-220,The effects of clear-felling subalpine coniferous forests on soil physical and chemical properties in the eastern Tibetan Plateau,4/7/2018,soil only  SNR,,,,
SCC,5278,2,1,Neumann-Cosel,2011,yes,1,FOREST ECOLOGY AND MANAGEMENT 261:1625-1633,Soil carbon dynamics under young tropical secondary forests on former pastures-A case study from Panama,4/5/2018,,,,,
SCC,5307,NA,0,d'Oliveira,2011,yes,1,FOREST ECOLOGY AND MANAGEMENT 261:1490-1498,Forest natural regeneration and biomass production after slash and burn in a seasonally dry forest in the Southern Brazilian Amazon,5/16/2018,,,,,
SCC,5317,0,1,Kalinina,2011,yes,1,GEODERMA 162:196-206  ,"Self-restoration of post-agrogenic chernozems of Russia: Soil development, carbon stocks, and dynamics of carbon pools",4/7/2018,soil only,,,,
SCC,5380,2,0,Hernandez-Stefanoni,2011,yes,1,LANDSCAPE ECOLOGY 26:355-370 ,Influence of landscape structure and stand age on species density and biomass of a tropical dry forest across spatial scales,4/8/2018,"no units on biomass, so guessing g/m2 given magnitude",,,,
SL,5457,0,0,Goulden,2011,yes,1,GLOBAL CHANGE BIOLOGY 17:855-871,"Patterns of NPP, GPP, respiration, and NEP during boreal forest succession",4/25/2018,,,1,,
SCC,5479,1,0,Omeja,2011,yes,1,TROPICAL CONSERVATION SCIENCE 4:287-299,Fire control as a simple means of promoting tropical forest restoration,4/9/2018,,,,,
SCC,5599,1,1,Mekuria,2011,yes,1,SOIL SCIENCE SOCIETY OFAMERICAJOURNAL75:246-256,"Restoration of Ecosystem Carbon Stocks Following Exclosure Establishment in Communal Grazing Lands in Tigray, Ethiopia",4/9/2018,,,,,
SCC,5641,2,0,Mendoza-Ponce,2010,yes,1,FORESTRY 83:497-506  ,Aboveground and belowground biomass and carbon pools in highland temperate forest landscape in Central Mexico,4/9/2018,"did not extract shrub data (no age), used grasslands for zero point (though they are also abandoned lands), and excluded G2 = natural grassland at highest altitude",,,,
SCC,5747,0,1,Li,2010,yes,1,PLANT AND SOIL 335:245-253,Effect of conversion of sugarcane plantation to forest and pasture on soil carbon in Hawaii,4/9/2018,soil only,,,,
SL,5848,1,0,Kenzo,2010,yes,1,FOREST ECOLOGY AND MANAGEMENT260:875-882,"Changes in above- and belowground biomass in early successional tropical secondary forests after shifting cultivation in Sarawak, Malaysia",9/15/2017,"Show data point for yr 11, but can't find description in text so unclear which chronosequence it belongs to",,1,,1
SCC,5876,2,0,Siddique,2010,yes,1,ECOLOGY 91:2121-2131  ,Nitrogen and phosphorus additions negatively affect tree species diversity in tropical forest regrowth trajectories,4/9/2018,control data only,,,,
SCC,5891,0,0,Ohtsuka,2010,yes,1,JOURNAL OF PLANT RESEARCH123:393-401,Carbon cycling and net ecosystem production at an early stage of secondary succession in an abandoned coppice forest,4/25/2018,soil data not shown,,,,
SCC,5962,0,1,Luan,2010,yes,1,GEODERMA 156:228-236  ,"Assessments of the impacts of Chinese fir plantation and natural regenerated forest on soil organic matter quality at Longmen mountain, Sichuan, China",4/9/2018,,,,,
SCC,5997,0,1,Zhang,2010,yes,1,FOREST ECOLOGY AND MANAGEMENT 259:2036-2047,"Vegetation community and soil characteristics of abandoned agricultural land and pine plantation in the Qinling Mountains, China",4/9/2018,"soil only MP, SNR",,,,
SL,6058,1,0,Tran,2010,yes,1,FOREST ECOLOGY AND MANAGEMENT259:1650-1659,Recovery process of a mountain forest after shifting cultivation in Northwestern Vietnam,9/15/2017,ABG includes understory!,,1,,1
SCC,6214,NA,1,Huang,2010,yes,1,JOURNAL OF ENVIRONMENTAL SCIENCES 22:1765-1773,Response of runoff and soil loss to reforestation and rainfall type in red soil region of southern China,5/16/2018,,"ITP, MP",,,
SCC,6412,0,1,Eaton,2009,yes,1,FOREST ECOLOGY AND MANAGEMENT 258:949-958,Loss of carbon sequestration potential after several decades of shifting cultivation in the Southern Yucatan,4/10/2018,"aboveground biomass from Read and Lawrence 2003, not duplicated here, pulled data from Table 2 because otherwise couldn't link site to data point and they had a wide percipitation gradient",older forest,,,
SL,6413,2,0,Powers,2009,yes,1,FOREST ECOLOGY AND MANAGEMENT258:959-970,Diversity and structure of regenerating tropical dry forests in Costa Rica: Geographic patterns and environmental drivers,8/3/2017,Did not extract soil data (only 0-10cm & does not provide estimates for different aged stands),,,1,
SCC,6416,0,1,Mitchell,2009,yes,1,BIOGEOCHEMISTRY 95:215-229  ,N-2 fixing alder (Alnus viridis spp. fruticosa) effects on soil properties across a secondary successional chronosequence in interior Alaska,4/25/2018,,,,,
SL,6420,2,0,Letcher,2009,yes,1,BIOTROPICA 41:608-617  ,"Rapid Recovery of Biomass, Species Richness, and Species Composition in a Forest Chronosequence in Northeastern Costa Rica",8/4/2017,"Also in Anderson-Teixeira 2016 but opted for data from Poorter 2016, also in Hilje 2012",older forest,1,1,1
SCC,6450,0,1,Kalinina,2009,yes,1,GEODERMA 152:35-42  ,"Self-restoration of post-agrogenic sandy soils in the southern Taiga of Russia: Soil development, nutrient status, and carbon dynamics",4/25/2018,,,,,
SCC,6521,0,1,Yan,2009,yes,1,PLANT AND SOIL 320:181-194,Temporal patterns of net soil N mineralization and nitrification through secondary succession in the subtropical forests of eastern China,4/10/2018,"soil only, SNR",older forests,,,
SCC,6559,0,1,Marin-Spiotta,2009,yes,1,GLOBAL CHANGE BIOLOGY 15:1584-1597,Soil organic matter dynamics during 80 years of reforestation of tropical pastures,4/10/2018,soil only,,,,
SL,6576,0,0,Shoch,2009,yes,1,WETLANDS 29:535-542  ,"CARBON STORAGE OF BOTTOMLAND HARDWOOD AFFORESTATION IN THE LOWER MISSISSIPPI VALLEY, USA",4/11/2018,"duplicates Baker 1998 MS thesis, drawing in data here","plantations, ITP",,,
SCC,6588,1,1,Vargas,2009,yes,1,BIOTROPICA 41:302-311  ,Effects of Vegetation Thinning on Above- and Belowground Carbon in a Seasonally Dry Tropical Forest in Mexico,4/11/2018,ANR data remain,,,,
SCC,6701,0,1,van der Kamp,2009,yes,1,GEODERMA 149:76-83  ,"Soil carbon changes upon secondary succession in Imperata grasslands (East Kalimantan, Indonesia)",4/11/2018,"soil only, did not collect data on ""stands burned before 2003""",,,,
SCC,6803,0,1,Tang,2009,yes,1,GLOBAL CHANGE BIOLOGY 15:145-155,Soil carbon fluxes and stocks in a Great Lakes forest chronosequence,4/11/2018,soil only,,,,
SCC,6887,1,0,Slik,2008,yes,1,OECOLOGIA 158:579-588  ,"Tree diversity, composition, forest structure and aboveground biomass dynamics after single and repeated fire in a Bornean rain forest",4/11/2018, did not collect unburned data,,,,
SCC,6952,0,0,Koul,2008,yes,1,CURRENT SCIENCE 95:658-663 ,Prioritizing land-management options for carbon sequestration potential,4/12/2018,,,,,
SCC,6996,0,1,Ostertag,2008,yes,1,ECOSYSTEMS 11:701-714  ,Litterfall and decomposition in relation to soil carbon pools along a secondary forest chronosequence in Puerto Rico,4/12/2018,did not extract tree data - duplicates data form Marin-Spiotta 2007,,,,
SCC,7005,0,1,Tian,2008,yes,1,JOURNAL OF FOREST RESEARCH 13:205-214,"Microbial biomass and activity along a natural pH gradient in forest soils in a karst region of the upper Yangtze River, China",4/12/2018,SNR,,,,
SL,7037,2,0,Lebrija-Trejos,2008,yes,1,BIOTROPICA 40:422-431  ,Successional change and resilience of a very dry tropical deciduous forest following shifting agriculture,8/3/2017,"Rozendaal 2017 reanalyzed data but numbers are too abstracted. Used Poorter 2016 data, but note that the years in Poorter do not align with original so did not extract density numbers",,,1,
SL,7176,1,0,Fukushima,2008,yes,1,FOREST ECOLOGY AND MANAGEMENT255:1994-2006,Secondary forest succession after the cessation of swidden cultivation in the montane forest area in Northern Thailand,4/13/2018,,,1,,1
SCC,7212,0,1,Zheng,2008,yes,1,FOREST ECOLOGY AND MANAGEMENT 255:1113-1121,Variation of carbon storage by different reforestation types in the hilly red soil region of southern China,4/13/2018,"MP, SNR",MP,,,
SCC,7216,2,1,Schedlbauer,2008,yes,1,FOREST ECOLOGY AND MANAGEMENT 255:1326-1335,Soil carbon dynamics in a chronosequence of secondary forests in northeastern Costa Rica,4/13/2018,,,,,
SCC,7276,1,1,Williams,2008,yes,1,FOREST ECOLOGY AND MANAGEMENT254:145-155,Carbon sequestration and biodiversity of re-growing miombo woodlands in Mozambique,4/13/2018,did not try to line up pools within an age,,,,
SCC,7280,0,1,Yamashita,2008,yes,1,FOREST ECOLOGY AND MANAGEMENT254:362-370,"Soil changes induced by Acacia mangium plantation establishment: Comparison with secondary forest and Imperata cylindrica grassland soils in South Sumatra, Indonesia",4/13/2018,soil only,,,,
SCC,7333,2,1,Vasconcelos,2008,yes,1,JOURNAL OF TROPICAL ECOLOGY 24:27-38,"Effects of seasonality, litter removal and dry-season irrigation on litterfall quantity and quality in eastern Amazonian forest regrowth, Brazil",4/13/2018,soil only SNR,,,,
SCC,7582,0,1,Ritter,2007,yes,1,PLANT AND SOIL 295:239-251,"Carbon, nitrogen and phosphorus in volcanic soils following afforestation with native birch (Betula pubescens) and introduced larch (Larix sibirica) in Iceland",4/13/2018,,,,,
SCC,7614,2,1,Feldpausch,2007,yes,1,GLOBAL CHANGE BIOLOGY 13:967-979,Secondary forest growth deviation from chronosequence predictions in central Amazonia,4/14/2018,"Feldpausch 2004 presents 2001 data, here data through 2005; pulled density from text but Fig 2b is too abstracted to include",,,,
SL,7632,2,0,Marin-Spiotta,2007,yes,1,ECOLOGICAL APPLICATIONS 17:828-839 ,Long-term patterns in tropical reforestation: Plant community composition and aboveground biomass accumulation,8/2/2017,In Anderson-Teixeira 2016 but went with Poorter data. 10 of the sites used in Pascarella 2000/2004 (high elevation sites). Poorter mislabed 20 yr as 10 yr data ,,1,1,1
SCC,7698,2,1,Tschakert,2007,yes,1,ECOLOGICAL ECONOMICS 60:807-820 ,"Indigenous livelihoods, slash-and-burn agriculture, and carbon stocks in Eastern Panama",4/15/2018,USED 0.475 FOR CARBON,older forest,,,
SL,7716,0,0,Bermudez,2007,yes,1,ANNALS OF FOREST SCIENCE64:109-119,Floristic and structural recovery of a laurel forest community after clear-cutting: A 60 years chronosequence on La Palma (Canary Islands),4/15/2018,,,,,
SCC,7727,0,1,Armolaitis,2007,yes,1,BALTIC FORESTRY 13:169-178 ,Carbon sequestration and nitrogen status in Arenosols following afforestation or following abandonment of arable land,4/15/2018,,,,,
